Name,Ingredients,Procedure,Serving,Suitable for Diabetic Patients to Eat,Calorie of the food,Approximate time for cooking(Minute)
Bhatura,"All-purpose flour, Yogurt, Baking powder, Baking soda, Salt, Oil","Prepare the Dough:

In a large mixing bowl, combine all-purpose flour, semolina, sugar, baking powder, baking soda, and salt.
Add beaten yogurt and mix well to form a crumbly mixture.
Gradually add water, little by little, and knead into a soft and smooth dough. The dough should not be too stiff or too sticky. Adjust the amount of water accordingly.
Cover the dough with a damp cloth and let it rest for about 2 hours. This resting time helps in fermenting the dough and makes the Bhaturas soft and fluffy.
Shape the Bhaturas:

After the resting period, divide the dough into small lemon-sized balls.
Take one portion of dough and roll it into a smooth ball between your palms.
Flatten the ball slightly and dust it with some flour.
Using a rolling pin, roll out each portion of dough into a circular disc of about 6-7 inches in diameter. The Bhaturas should not be too thin or too thick.
Fry the Bhaturas:

Heat oil for deep frying in a kadai (wok) or a deep frying pan over medium-high heat.
Once the oil is hot, gently slide in one rolled Bhatura at a time.
Press the Bhatura with a slotted spoon as it puffs up. This helps it to puff evenly.
Fry the Bhatura until it puffs up and turns golden brown on both sides. Flip it once or twice during frying to ensure even cooking.
Remove the fried Bhatura using a slotted spoon and drain excess oil by placing it on a paper towel-lined plate.
Repeat the same process with the remaining rolled dough balls.",Serve with chana masala or aloo sabzi.,No,300,45
Bhindi Masala,"Okra (bhindi), Onions, Tomatoes, Green chilies, Ginger-garlic paste, Turmeric powder, Cumin seeds, Coriander powder, Garam masala, Oil, Salt","Bhindi Masala is a flavorful and spicy Indian dish made with okra (bhindi) cooked with onions, tomatoes, and a blend of spices. Here's a simple recipe to make Bhindi Masala at home:

### Ingredients:
- 250 grams okra (bhindi), washed, dried, and sliced into pieces
- 2 tablespoons oil
- 1 teaspoon cumin seeds
- 1 medium onion, finely chopped
- 2 tomatoes, finely chopped
- 2 green chilies, slit lengthwise
- 1 teaspoon ginger-garlic paste
- 1/2 teaspoon turmeric powder
- 1 teaspoon coriander powder
- 1/2 teaspoon cumin powder
- 1/2 teaspoon red chili powder (adjust to taste)
- Salt to taste
- 1/2 teaspoon garam masala
- Fresh coriander leaves for garnish

### Instructions:
1. **Prepare the Okra:**
   - Wash the okra thoroughly under running water and pat dry using a kitchen towel.
   - Trim the ends and slice the okra into small pieces. Keep aside.

2. **Cook the Okra:**
   - Heat oil in a pan over medium heat.
   - Add sliced okra to the pan and sauté for 5-7 minutes until they are partially cooked and start to turn brown. Stir occasionally to prevent sticking. Once done, remove the okra from the pan and keep aside.

3. **Prepare the Masala:**
   - In the same pan, add a little more oil if needed.
   - Add cumin seeds to the hot oil and let them splutter.
   - Add finely chopped onions and green chilies to the pan. Sauté until the onions turn translucent.

4. **Add Spices:**
   - Add ginger-garlic paste to the pan and sauté for a minute until the raw smell disappears.
   - Add chopped tomatoes and cook until they turn soft and mushy.
   - Now, add turmeric powder, coriander powder, cumin powder, red chili powder, and salt. Mix well and cook for another couple of minutes until the spices are well combined and oil starts to separate from the masala.

5. **Combine Okra and Masala:**
   - Once the masala is cooked, add the partially cooked okra back to the pan. Mix gently to coat the okra pieces with the masala.

6. **Cook Bhindi Masala:**
   - Cover the pan with a lid and let the bhindi cook for 8-10 minutes on low heat. Stir occasionally to prevent sticking and ensure even cooking.

7. **Finish with Garam Masala:**
   - Once the okra is cooked through and tender, sprinkle garam masala over the bhindi masala. Mix well to incorporate the flavors.

8. **Garnish and Serve:**
   - Garnish the Bhindi Masala with freshly chopped coriander leaves.
   - Serve hot with roti, naan, or rice as a delicious and flavorful main course dish.

9. **Enjoy:**
   - Enjoy the Bhindi Masala with your favorite Indian bread or rice for a satisfying and wholesome meal!

Follow these steps, and you'll have a tasty Bhindi Masala ready to be enjoyed with your family and friends.",Serve hot with rotis or steamed rice.,No,180,25
Biryani,"Basmati rice, Chicken or meat, Onions, Tomatoes, Yogurt, Ginger-garlic paste, Biryani masala, Saffron strands, Ghee, Oil, Salt","Biryani is a classic Indian dish made with aromatic basmati rice, meat (such as chicken, lamb, or goat), or vegetables, and a blend of spices. Here's a traditional recipe for Chicken Biryani:

### Ingredients:
#### For Marination:
- 500 grams chicken, cut into pieces
- 1 cup yogurt
- 1 tablespoon ginger-garlic paste
- 1 teaspoon red chili powder
- 1/2 teaspoon turmeric powder
- 1 teaspoon garam masala powder
- Salt to taste

#### For Rice:
- 2 cups basmati rice, soaked for 30 minutes and drained
- 4 cups water
- 1 bay leaf
- 2-3 green cardamom pods
- 2-3 cloves
- 1-inch cinnamon stick
- Salt to taste

#### For Biryani:
- 3 tablespoons oil or ghee
- 2 onions, thinly sliced
- 2 tomatoes, chopped
- 2 green chilies, slit lengthwise
- 1/2 cup chopped mint leaves
- 1/2 cup chopped coriander leaves
- A pinch of saffron strands (optional)
- 1/4 cup warm milk (if using saffron)
- Fried onions for garnish (optional)

### Instructions:
1. **Marinate the Chicken:**
   - In a large bowl, combine the chicken pieces with yogurt, ginger-garlic paste, red chili powder, turmeric powder, garam masala powder, and salt.
   - Mix well to coat the chicken evenly with the marinade. Cover and refrigerate for at least 1 hour, or overnight for best results.

2. **Prepare the Rice:**
   - In a large pot, bring water to a boil.
   - Add soaked and drained basmati rice to the boiling water.
   - Add bay leaf, green cardamom pods, cloves, cinnamon stick, and salt.
   - Cook the rice until it is 70-80% cooked. It should still have a bite to it. Drain the rice and set aside.

3. **Cook the Chicken:**
   - Heat oil or ghee in a large, heavy-bottomed pan or pressure cooker over medium heat.
   - Add sliced onions and sauté until they turn golden brown and caramelized.
   - Add chopped tomatoes and green chilies. Cook until the tomatoes are soft and mushy.
   - Add marinated chicken pieces along with the marinade to the pan. Mix well.
   - Cover and cook the chicken until it is tender and cooked through, stirring occasionally. If using a pressure cooker, cook for about 2-3 whistles.

4. **Layering the Biryani:**
   - Once the chicken is cooked, remove half of it from the pan and keep aside.
   - Layer the remaining chicken along with gravy at the bottom of the pan.
   - Spread half of the partially cooked rice over the chicken layer.
   - Sprinkle chopped mint leaves and coriander leaves over the rice.
   - If using saffron, soak the saffron strands in warm milk and drizzle it over the rice.
   - Repeat the layers with the remaining chicken and rice.

5. **Final Cooking:**
   - Cover the pan tightly with a lid or aluminum foil to seal in the flavors.
   - Place the pan on a tawa (griddle) or a hot skillet and cook on low heat for 20-25 minutes. This helps in dum cooking, where the flavors infuse together.

6. **Serve:**
   - Once done, gently fluff up the biryani with a fork.
   - Garnish with fried onions, chopped coriander leaves, and mint leaves.
   - Serve hot with raita, salad, or your favorite side dish.

Enjoy the aromatic and flavorful Chicken Biryani with your loved ones!",Serve hot with raita and salad.,no,350,60
Boondi,"Gram flour (besan), Water, Baking soda, Oil for frying","Boondi is a popular Indian sweet snack made from chickpea flour (besan) batter, which is deep-fried into small, round droplets and then soaked in sugar syrup. Here's a simple recipe to make Boondi at home:

### Ingredients:
#### For Boondi:
- 1 cup chickpea flour (besan)
- 1/4 cup water (approximately)
- A pinch of baking soda
- Oil or ghee for deep frying

#### For Sugar Syrup:
- 1 cup sugar
- 1/2 cup water
- A few saffron strands (optional)
- 1/4 teaspoon cardamom powder

### Instructions:
1. **Prepare Sugar Syrup:**
   - In a saucepan, combine sugar and water to make the sugar syrup.
   - Heat the mixture over medium heat until the sugar dissolves completely.
   - Add saffron strands (if using) and cardamom powder to the syrup.
   - Let the syrup simmer for a few minutes until it reaches a sticky consistency.
   - Once the syrup reaches one-string consistency (when a drop of syrup between your thumb and index finger forms a single thread), remove it from the heat and keep it aside.

2. **Make Boondi Batter:**
   - In a mixing bowl, sift chickpea flour (besan) to ensure there are no lumps.
   - Gradually add water to the besan while whisking continuously to make a smooth batter. The batter should have a pouring consistency, similar to pancake batter.
   - Add a pinch of baking soda to the batter and mix well.

3. **Fry Boondi:**
   - Heat oil or ghee in a deep frying pan or kadai over medium heat.
   - Hold a perforated ladle or a slotted spoon (known as boondi jhara) over the hot oil.
   - Pour a ladleful of batter over the perforated ladle and gently tap or shake it to allow small droplets of batter to fall into the hot oil.
   - Fry the boondis until they turn golden brown and crispy. Stir occasionally to ensure even frying.
   - Once fried, remove the boondis using a slotted spoon and drain excess oil on a paper towel-lined plate.
   - Repeat the process with the remaining batter until all boondis are fried.

4. **Soak Boondi in Sugar Syrup:**
   - While the boondis are still warm, transfer them to the prepared sugar syrup.
   - Let the boondis soak in the sugar syrup for about 5-10 minutes, allowing them to absorb the sweetness.
   - Gently mix the boondis in the syrup to ensure they are evenly coated.

5. **Serve:**
   - Once the boondi has soaked up the syrup and cooled down slightly, transfer it to a serving dish.
   - Garnish with chopped nuts (such as almonds or pistachios) if desired.
   - Serve Boondi as a delightful sweet snack or dessert.

Enjoy the homemade Boondi with its crunchy texture and sweet flavor!",Serve as a crunchy snack.,No,120,30
Butter Chicken,"Chicken, Butter, Onions, Tomatoes, Cream, Ginger-garlic paste, Red chili powder, Garam masala, Kasuri methi, Oil, Salt","Butter Chicken, also known as Murgh Makhani, is a popular North Indian dish known for its creamy and flavorful tomato-based gravy. Here's a recipe to make Butter Chicken at home:

### Ingredients:
#### For Marination:
- 500 grams boneless chicken, cut into bite-sized pieces
- 1/2 cup yogurt
- 1 tablespoon ginger-garlic paste
- 1 teaspoon red chili powder
- 1/2 teaspoon turmeric powder
- 1 teaspoon garam masala powder
- 1 tablespoon lemon juice
- Salt to taste

#### For Gravy:
- 2 tablespoons butter
- 1 tablespoon oil
- 2 onions, finely chopped
- 2 tomatoes, pureed
- 1 tablespoon tomato paste
- 1 tablespoon ginger-garlic paste
- 1 teaspoon red chili powder
- 1 teaspoon coriander powder
- 1/2 teaspoon cumin powder
- 1/2 teaspoon turmeric powder
- 1 teaspoon garam masala powder
- 1/2 cup heavy cream
- 1 tablespoon honey or sugar
- Salt to taste
- Fresh coriander leaves for garnish

### Instructions:
1. **Marinate the Chicken:**
   - In a bowl, combine yogurt, ginger-garlic paste, red chili powder, turmeric powder, garam masala powder, lemon juice, and salt.
   - Add chicken pieces to the marinade and mix well to coat evenly. Cover and refrigerate for at least 1 hour, or overnight for best results.

2. **Cook the Chicken:**
   - Heat oil in a pan over medium heat.
   - Add marinated chicken pieces to the pan and cook until they are browned and cooked through. Remove the cooked chicken from the pan and keep aside.

3. **Prepare the Gravy:**
   - In the same pan, add butter. Once melted, add chopped onions and sauté until they turn golden brown.
   - Add ginger-garlic paste and sauté until the raw smell disappears.
   - Add tomato puree and tomato paste to the pan. Cook until the oil starts to separate from the mixture.
   - Add red chili powder, coriander powder, cumin powder, turmeric powder, and garam masala powder. Mix well and cook for a few minutes.
   - Add heavy cream and honey (or sugar) to the gravy. Mix well and let it simmer for 2-3 minutes.

4. **Combine Chicken and Gravy:**
   - Add the cooked chicken pieces to the gravy. Mix well to coat the chicken pieces with the gravy.
   - Let the chicken simmer in the gravy for another 5-7 minutes to absorb the flavors.

5. **Serve:**
   - Garnish Butter Chicken with fresh coriander leaves.
   - Serve hot with naan, roti, or steamed rice.

Enjoy the creamy and delicious Butter Chicken with its rich flavors and tender chicken pieces!",Serve hot with naan or rice.,No,350,45
Chak Hao Kheer,"Black rice, Milk, Sugar, Cardamom powder, Nuts (optional)","Chak Hao Kheer, also known as Black Rice Pudding or Forbidden Rice Pudding, is a traditional Manipuri dessert made with black rice, milk, sugar, and flavored with cardamom. Here's how you can make Chak Hao Kheer at home:

### Ingredients:
- 1 cup black rice (Chak Hao)
- 4 cups milk
- 1/2 cup sugar (adjust to taste)
- 4-5 green cardamom pods, crushed or powdered
- A pinch of saffron strands (optional)
- Chopped nuts (almonds, cashews, pistachios) for garnish

### Instructions:
1. **Rinse and Soak the Black Rice:**
   - Rinse the black rice thoroughly under running water until the water runs clear.
   - Soak the rinsed black rice in enough water for at least 4-6 hours or overnight. This helps to soften the rice and reduce the cooking time.

2. **Cook the Black Rice:**
   - After soaking, drain the water from the black rice.
   - In a large pot, add the soaked black rice along with 2 cups of water.
   - Bring the water to a boil over medium-high heat.
   - Once boiling, reduce the heat to low and let the rice simmer for about 30-40 minutes, or until the rice is cooked and soft. Stir occasionally to prevent sticking.
   - Once the rice is cooked, remove it from the heat and let it cool slightly.

3. **Prepare the Kheer:**
   - In another pot, heat milk over medium heat until it comes to a gentle boil.
   - Add the cooked black rice to the boiling milk and mix well.
   - Let the mixture simmer over low heat, stirring occasionally, until the kheer thickens to your desired consistency. This may take about 20-30 minutes.
   - Crush the cardamom pods and add the seeds to the kheer for flavor. You can also add saffron strands for added aroma and color.

4. **Sweeten the Kheer:**
   - Once the kheer has thickened to your liking, add sugar to taste and mix well until the sugar is completely dissolved.
   - Adjust the sweetness according to your preference.

5. **Garnish and Serve:**
   - Remove the kheer from the heat and let it cool slightly.
   - Garnish the Chak Hao Kheer with chopped nuts of your choice (almonds, cashews, pistachios).
   - Serve the kheer warm or chilled, according to your preference.

Enjoy the rich and creamy Chak Hao Kheer as a delightful dessert, showcasing the unique flavor and color of black rice!","Serve as a sweet dish, garnished with nuts.",No,200,45
Cham Cham,"Paneer, Sugar, Milk, Rose water, Saffron strands, Cardamom powder, Nuts","Cham Cham is a popular Bengali sweet made from paneer (Indian cottage cheese) and soaked in a sugar syrup flavored with saffron and cardamom. Here's a recipe to make Cham Cham at home:

### Ingredients:
#### For Cham Cham:
- 1 liter full-fat milk
- 2 tablespoons lemon juice or vinegar
- 3 tablespoons sugar
- 1 tablespoon all-purpose flour (maida)
- A pinch of baking powder
- A few drops of rose water (optional)
- A few strands of saffron (optional)
- Chopped pistachios or almonds for garnish

#### For Sugar Syrup:
- 1 cup sugar
- 3 cups water
- 2-3 green cardamom pods, crushed

### Instructions:
1. **Prepare Paneer (Chenna):**
   - In a large pot, bring the milk to a boil over medium heat, stirring occasionally to prevent sticking.
   - Once the milk comes to a boil, reduce the heat to low and add lemon juice or vinegar gradually while stirring continuously.
   - The milk will curdle, and the whey will separate from the curdled milk solids (paneer). If necessary, add more lemon juice or vinegar until the whey becomes clear.
   - Turn off the heat and strain the curdled milk through a muslin cloth or fine sieve. Rinse the paneer under cold water to remove any traces of lemon juice or vinegar.
   - Gather the cloth with the paneer inside and squeeze out excess water. Hang the paneer for 30 minutes to drain any remaining water.

2. **Knead the Paneer:**
   - Transfer the drained paneer to a clean surface or a mixing bowl.
   - Knead the paneer with the heel of your hand until it becomes smooth and soft. This may take about 5-7 minutes.
   - Add sugar, all-purpose flour, and baking powder to the paneer. Knead again until everything is well combined and the mixture becomes smooth.

3. **Shape the Cham Cham:**
   - Divide the paneer mixture into equal-sized portions and shape them into cylindrical or oval-shaped dumplings.
   - Flatten the dumplings slightly and make a slight indentation in the center of each cham cham with your thumb or the back of a spoon.

4. **Cook the Cham Cham:**
   - In a wide pan or kadai, bring water to a boil.
   - Gently slide the shaped cham cham into the boiling water.
   - Cover and cook the cham cham over medium-low heat for about 15-20 minutes, or until they are cooked through and doubled in size. They will become spongy and float to the surface when cooked.
   - Once cooked, remove the cham cham from the water and let them cool slightly.

5. **Prepare Sugar Syrup:**
   - In another saucepan, combine sugar, water, and crushed cardamom pods to make the sugar syrup.
   - Bring the syrup to a boil over medium heat, stirring occasionally until the sugar dissolves completely.
   - Let the syrup simmer for a few minutes until it slightly thickens. Turn off the heat.

6. **Soak the Cham Cham:**
   - Gently drop the cooked cham cham into the prepared sugar syrup.
   - Let them soak in the syrup for at least 1-2 hours to absorb the sweetness and flavor.

7. **Serve:**
   - Once soaked, remove the cham cham from the sugar syrup and arrange them on a serving plate.
   - Garnish with chopped pistachios or almonds.
   - Optionally, drizzle some saffron-infused milk or rose water over the cham cham for added flavor and aroma.
   - Serve Cham Cham chilled or at room temperature as a delightful sweet treat!

Enjoy the soft and spongy Cham Cham, soaked in aromatic sugar syrup, as a delightful dessert!",Serve chilled as a sweet dessert.,No,150,60
Chana Masala,"Chickpeas, Onions, Tomatoes, Ginger-garlic paste, Green chilies, Coriander powder, Cumin seeds, Garam masala, Oil, Salt","Chana Masala is a popular Indian dish made with chickpeas (also known as chana or garbanzo beans) cooked in a flavorful and aromatic tomato-based gravy. Here's a recipe to make Chana Masala at home:

### Ingredients:
- 2 cups dried chickpeas (or 2 cans of chickpeas, drained and rinsed)
- 2 tablespoons oil or ghee
- 1 large onion, finely chopped
- 2 tomatoes, finely chopped
- 1 tablespoon ginger-garlic paste
- 2 green chilies, slit lengthwise (adjust to taste)
- 1 teaspoon cumin seeds
- 1 teaspoon coriander powder
- 1/2 teaspoon turmeric powder
- 1/2 teaspoon red chili powder (adjust to taste)
- 1 teaspoon garam masala powder
- Salt to taste
- Chopped fresh coriander leaves for garnish
- Lemon wedges for serving

#### For Garnish (optional):
- Chopped fresh coriander leaves
- Chopped onion
- Lemon wedges

### Instructions:
1. **Prepare Chickpeas (if using dried chickpeas):**
   - If using dried chickpeas, soak them overnight in water. Drain the soaked chickpeas and rinse them before cooking.
   - Cook the soaked chickpeas in a pressure cooker with enough water and a pinch of salt until they are soft and tender. Alternatively, you can use canned chickpeas.

2. **Cook the Gravy:**
   - Heat oil or ghee in a large pan or kadai over medium heat.
   - Add cumin seeds and let them splutter.
   - Add chopped onions and green chilies to the pan. Sauté until the onions turn golden brown.
   - Add ginger-garlic paste and sauté until the raw smell disappears.
   - Add chopped tomatoes to the pan and cook until they turn soft and mushy.
   - Add coriander powder, turmeric powder, red chili powder, and salt. Mix well and cook for a couple of minutes until the spices are well combined and oil starts to separate from the masala.

3. **Add Chickpeas and Simmer:**
   - Add cooked chickpeas (or canned chickpeas) to the pan along with some water if needed to adjust the consistency of the gravy.
   - Mix well and let the gravy simmer for 10-15 minutes on low heat, allowing the flavors to meld together.
   - Mash some of the chickpeas with the back of a spoon to thicken the gravy if desired.

4. **Add Garam Masala and Finish:**
   - Once the gravy has thickened to your liking, add garam masala powder and mix well.
   - Adjust salt and spices according to your taste preferences.

5. **Garnish and Serve:**
   - Garnish the Chana Masala with chopped fresh coriander leaves.
   - Serve hot with rice, naan, roti, or bhatura.
   - Optionally, garnish with chopped onion and serve with lemon wedges on the side for extra flavor.

Enjoy the flavorful and aromatic Chana Masala as a satisfying and wholesome meal!",Serve hot with rice or naan.,Yes,200,30
Chapati,"Whole wheat flour, Water, Salt","Chapati, also known as roti or phulka, is a popular Indian flatbread made from whole wheat flour. It's a staple in many Indian households and is typically served with various curries, vegetables, or lentils. Here's a simple recipe to make soft and fluffy Chapatis at home:

### Ingredients:
- 2 cups whole wheat flour (atta)
- Water, as needed for kneading
- Salt, to taste (optional)
- Ghee or oil, for cooking (optional)

### Instructions:
1. **Prepare the Dough:**
   - In a large mixing bowl, add whole wheat flour and salt (if using).
   - Gradually add water to the flour while kneading to form a soft and pliable dough. The dough should be smooth and not too sticky.
   - Knead the dough for about 5-7 minutes until it becomes smooth and elastic.
   - Cover the dough with a damp cloth or plastic wrap and let it rest for at least 15-20 minutes. This resting time helps to relax the gluten and makes the chapatis softer.

2. **Divide and Roll the Dough:**
   - After resting, divide the dough into small lemon-sized balls.
   - Roll each dough ball between your palms to make them smooth.
   - Flatten each dough ball slightly and dust it with some dry flour.
   - Using a rolling pin, roll out each dough ball into a thin, round disc of about 6-7 inches in diameter. Aim for an even thickness throughout the disc.

3. **Cook the Chapatis:**
   - Heat a tawa (griddle) or a flat skillet over medium-high heat.
   - Once the tawa is hot, place a rolled-out chapati on it and let it cook for about 30 seconds to 1 minute on one side until you see small bubbles forming on the surface.
   - Flip the chapati using a spatula and let it cook on the other side for another 30 seconds to 1 minute until light golden brown spots appear.
   - If desired, you can lightly press the edges of the chapati with a clean kitchen towel to help it puff up.

4. **Finish with Ghee or Oil (optional):**
   - Once the chapati is cooked on both sides, you can optionally brush it with ghee or oil for added flavor and softness. This step is entirely optional and can be skipped if preferred.

5. **Serve Hot:**
   - Remove the cooked chapati from the tawa and place it on a plate.
   - Repeat the process with the remaining dough balls until all chapatis are cooked.
   - Serve the hot and freshly cooked chapatis immediately with your favorite curry, vegetable dish, or lentils.

Enjoy the delicious and wholesome Chapatis as a versatile accompaniment to any Indian meal!","Serve with vegetables, curries, or dal.",Yes,150,30
Chhena Kheeri,"Paneer (chhena), Milk, Sugar, Cardamom powder, Nuts, Saffron strands","Chhena Kheeri is a delightful Bengali dessert made from freshly prepared chhena (Indian cottage cheese) cooked in sweetened milk flavored with cardamom and saffron. Here's a recipe to make Chhena Kheeri at home:

### Ingredients:
#### For Chhena:
- 1 liter full-fat milk
- 2-3 tablespoons lemon juice or vinegar

#### For Kheeri:
- 1 liter full-fat milk
- 1/2 cup sugar (adjust to taste)
- 1/4 teaspoon cardamom powder
- A pinch of saffron strands (optional)
- Chopped nuts (almonds, pistachios) for garnish

### Instructions:
1. **Prepare Chhena (Indian Cottage Cheese):**
   - In a large pot, bring 1 liter of full-fat milk to a boil over medium heat, stirring occasionally to prevent sticking.
   - Once the milk comes to a boil, reduce the heat to low and add lemon juice or vinegar gradually while stirring continuously.
   - The milk will curdle, and the whey will separate from the curdled milk solids (chhena). If necessary, add more lemon juice or vinegar until the whey becomes clear.
   - Turn off the heat and strain the curdled milk through a muslin cloth or fine sieve. Rinse the chhena under cold water to remove any traces of lemon juice or vinegar.
   - Gather the cloth with the chhena inside and squeeze out excess water. Hang the chhena for 30 minutes to drain any remaining water.

2. **Prepare Kheeri:**
   - In a wide, heavy-bottomed pan or kadai, bring 1 liter of full-fat milk to a boil over medium heat, stirring occasionally.
   - Once the milk comes to a boil, reduce the heat to low and let it simmer, stirring occasionally, until it reduces to about half its original quantity. This may take about 30-40 minutes.

3. **Add Chhena and Sweeten:**
   - Once the milk has reduced, crumble the prepared chhena into the simmering milk.
   - Add sugar to the pan and mix well until the sugar is completely dissolved.
   - Add cardamom powder and saffron strands (if using) to the kheeri. Mix well to incorporate the flavors.

4. **Cook and Thicken:**
   - Let the chhena kheeri simmer over low heat for another 10-15 minutes, stirring occasionally, until it thickens to your desired consistency.
   - If the kheeri becomes too thick, you can add a little milk to adjust the consistency.

5. **Garnish and Serve:**
   - Once the chhena kheeri is ready, remove it from the heat and let it cool slightly.
   - Garnish with chopped nuts (almonds, pistachios) for added flavor and texture.
   - Serve the chhena kheeri warm or chilled as a delightful dessert.

Enjoy the creamy and delicious Chhena Kheeri, showcasing the rich flavors of chhena and sweetened milk!",Serve chilled as a dessert.,No,200,45
Chicken Razala,"Chicken, Yogurt, Cashews, Onions, Ginger-garlic paste, Garam masala, Green chilies, Coriander leaves, Oil, Salt","Chicken Razala is a flavorful and aromatic Mughlai dish made with succulent pieces of chicken cooked in a rich and creamy gravy. Here's a recipe to make Chicken Razala at home:

Ingredients:
For Marination:
500 grams chicken, cut into pieces
1/2 cup yogurt
1 tablespoon ginger-garlic paste
1 teaspoon red chili powder
1/2 teaspoon turmeric powder
Salt to taste
For Gravy:
2 tablespoons ghee or oil
2 onions, finely chopped
2 tomatoes, finely chopped
1 tablespoon cashew nuts, soaked in water for 30 minutes
1 tablespoon poppy seeds (khus khus), soaked in water for 30 minutes
1 tablespoon melon seeds (magaz), soaked in water for 30 minutes
1 tablespoon ginger-garlic paste
1 teaspoon cumin seeds
2-3 green cardamom pods
2-3 cloves
1-inch cinnamon stick
1 bay leaf
1/2 cup fresh cream
1/2 teaspoon garam masala powder
Salt to taste
Chopped coriander leaves for garnish
Instructions:
Marinate the Chicken:

In a bowl, combine yogurt, ginger-garlic paste, red chili powder, turmeric powder, and salt.
Add chicken pieces to the marinade and mix well to coat evenly. Cover and refrigerate for at least 1 hour, or overnight for best results.
Prepare the Gravy:

In a blender, grind soaked cashew nuts, poppy seeds, and melon seeds into a smooth paste using little water. Keep aside.
Heat ghee or oil in a pan over medium heat.
Add cumin seeds, green cardamom pods, cloves, cinnamon stick, and bay leaf to the hot ghee/oil. Sauté for a minute until fragrant.
Add chopped onions to the pan and sauté until they turn golden brown.
Add ginger-garlic paste and sauté until the raw smell disappears.
Add chopped tomatoes to the pan and cook until they turn soft and mushy.
Add the ground paste (cashew-poppy-melon seed paste) to the pan. Mix well and cook for a couple of minutes.
Cook the Chicken:

Add the marinated chicken pieces to the pan along with any marinade left in the bowl.
Mix well to coat the chicken pieces with the gravy.
Cover and cook the chicken over medium-low heat for about 15-20 minutes, stirring occasionally, until the chicken is cooked through and tender.
Finish with Cream and Spices:

Once the chicken is cooked, add fresh cream to the pan. Mix well to incorporate.
Add garam masala powder and salt to taste. Mix well and let the gravy simmer for another 5 minutes.
Garnish and Serve:

Garnish Chicken Razala with chopped coriander leaves.
Serve hot with naan, roti, or steamed rice.
Enjoy the rich and creamy Chicken Razala with its flavorful gravy, perfect for special occasions or gatherings!





",Serve hot with rotis or rice.,No,100,45
